#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
1,78730,"30.363632, -97.850355","Austin, Texas","4,885","$128,524.00",#58
2,78732,"30.382536, -97.894904","Austin, Texas","3,629","$103,951.00",#209
3,78739,"30.178839, -97.889064","Austin, Texas","8,643","$102,707.00",#227
4,78738,"30.327510, -97.989040","Austin, Texas","2,840","$102,295.00",#231
5,78733,"30.323857, -97.894860","Austin, Texas","8,716","$102,239.00",#232
6,78746,"30.296951, -97.811647","Austin, Texas","26,023","$100,571.00",#255
7,78726,"30.430488, -97.842530","Austin, Texas","6,480","$89,891.00",#462
8,78717,"30.488309, -97.764829","Austin, Texas","8,148","$87,290.00",#546
9,78737,"30.177041, -97.956661","Austin, Texas","7,100","$87,029.00",#555
10,78750,"30.413499, -97.802001","Austin, Texas","23,476","$78,428.00",#914
11,78735,"30.265993, -97.863894","Austin, Texas","9,671","$75,204.00","#1,099"
12,78734,"30.376159, -97.946334","Austin, Texas","12,925","$74,052.00","#1,174"
13,78749,"30.216168, -97.856006","Austin, Texas","28,497","$68,244.00","#1,718"
14,78727,"30.428300, -97.718143","Austin, Texas","22,212","$62,648.00","#2,442"
15,78731,"30.345211, -97.767455","Austin, Texas","24,059","$62,404.00","#2,481"
16,78736,"30.250877, -97.968810","Austin, Texas","6,897","$62,294.00","#2,505"
17,78759,"30.400789, -97.755969","Austin, Texas","40,547","$61,284.00","#2,701"
18,78747,"30.122470, -97.746210","Austin, Texas","5,079","$60,861.00","#2,805"
19,78729,"30.457246, -97.756419","Austin, Texas","24,561","$59,497.00","#3,110"
20,78748,"30.159688, -97.823287","Austin, Texas","25,361","$57,710.00","#3,441"
21,78703,"30.294204, -97.765114","Austin, Texas","19,585","$54,591.00","#4,241"
22,78754,"30.349483, -97.640390","Austin, Texas","5,422","$51,810.00","#5,136"
23,78728,"30.453764, -97.686695","Austin, Texas","17,298","$51,078.00","#5,441"
24,78725,"30.228676, -97.594967","Austin, Texas","1,836","$47,076.00","#7,170"
25,78757,"30.351934, -97.732827","Austin, Texas","21,415","$45,090.00","#8,326"
26,78745,"30.206806, -97.797108","Austin, Texas","53,044","$43,458.00","#9,241"
27,78758,"30.387634, -97.705310","Austin, Texas","42,820","$42,398.00","#9,967"
28,78744,"30.177015, -97.725888","Austin, Texas","33,706","$38,256.00","#13,682"
29,78753,"30.380366, -97.674764","Austin, Texas","44,210","$38,206.00","#13,714"
30,78756,"30.322200, -97.740236","Austin, Texas","7,128","$36,978.00","#14,980"
31,78724,"30.297099, -97.617767","Austin, Texas","15,428","$36,641.00","#15,389"
32,78719,"30.184794, -97.682619","Austin, Texas","1,765","$36,480.00","#15,557"
33,78722,"30.293272, -97.709068","Austin, Texas","6,365","$35,794.00","#16,472"
34,78701,"30.271653, -97.741553","Austin, Texas","3,855","$35,757.00","#16,509"
35,78704,"30.243128, -97.765874","Austin, Texas","43,249","$35,733.00","#16,555"
36,78723,"30.305341, -97.683344","Austin, Texas","30,110","$34,242.00","#18,353"
37,78752,"30.331288, -97.704660","Austin, Texas","18,030","$30,207.00","#23,385"
38,78751,"30.310819, -97.722821","Austin, Texas","14,005","$29,779.00","#23,850"
39,78742,"30.239436, -97.671420","Austin, Texas",625,"$28,281.00","#25,395"
40,78721,"30.269811, -97.683126","Austin, Texas","10,124","$26,646.00","#26,985"
41,78741,"30.229845, -97.715136","Austin, Texas","40,661","$25,369.00","#27,988"
42,78702,"30.263909, -97.714495","Austin, Texas","22,534","$23,348.00","#29,175"
43,78705,"30.293474, -97.738268","Austin, Texas","26,825","$14,740.00","#31,414"