,zip_code,ABUSE OF 911,AGG ASLT ENHANC STRANGL/SUFFOC,AGG ASLT STRANGLE/SUFFOCATE,AGG ASLT W/MOTOR VEH FAM/DAT V,AGG ASSAULT,AGG ASSAULT FAM/DATE VIOLENCE,AGG ASSAULT ON PEACE OFFICER,AGG ASSAULT ON PUBLIC SERVANT,AGG ASSAULT WITH MOTOR VEH,AGG ROBBERY BY ASSAULT,AGG ROBBERY/DEADLY WEAPON,AIRPORT - CRIMINAL TRESPASS,APPLIC TO REVOKE PROBATION,ARSON,ASSAULT BY CONTACT,ASSAULT BY CONTACT FAM/DATING,ASSAULT BY THREAT,ASSAULT BY THREAT FAM/DATING,ASSAULT OF A PREGNANT WOMAN,ASSAULT OF PREGNANT WM-FAM/DAT,ASSAULT ON PEACE OFFICER,ASSAULT ON PUBLIC SERVANT,ASSAULT W/INJURY-FAM/DATE VIOL,ASSAULT WITH INJURY,AUTO THEFT,BOMB THREAT,BREACH OF COMPUTER SECURITY,BURGLARY NON RESIDENCE,BURGLARY OF COIN-OP MACHINE,BURGLARY OF RESIDENCE,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,BURGLARY OF VEH-NO SUSPECT/FU,BURGLARY OF VEHICLE,CHILD CUSTODY INTERFERE,CHILD ENDANGERMENT- ABANDONMEN,CIVIL DISTURBANCE/DEMO,COMMERCIAL BRIBERY,COUNTERFEITING,CRASH/FAIL STOP AND RENDER AID,CRED CARD ABUSE - OTHER,CRED CARD ABUSE BY FORGERY,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF BY ARSON,CRIMINAL MISCHIEF-NO SUSPECT,CRIMINAL TRESPASS,CRIMINAL TRESPASS/HOTEL,CRIMINAL TRESPASS/IN VEHICLE,CRIMINAL TRESPASS/TRANSIENT,CRUELTY TO ANIMALS,CUSTODY ARREST TRAFFIC WARR,DAMAGE CITY PROP,DAMAGE CITY VEHICLE,DATING DISTURBANCE,DEADLY CONDUCT,DEBIT CARD ABUSE,DEL CONTROLLED SUB/NARCOTIC,DEL CONTROLLED SUB/SYN NARC,DEL MARIJUANA,DEL SYNTHETIC MARIJUANA,DISTURBANCE - OTHER,DOC ABUSE OR THREAT,DOC ABUSIVE LANGUAGE,DOC DISCHARGE GUN - PUB PLACE,DOC DISPLAY GUN/DEADLY PUB PLC,DOC EXPOSURE,DOC FIGHTING,DOC OFFENSIVE GESTURE,DOC UNREASONABLE NOISE,DOC WINDOW PEEPING - HOTEL,DOC WINDOW PEEPING-RESIDENCE,DRIVING WHILE INTOX / FELONY,DUI - AGE 16 AND UNDER,DUI - AGE 17 TO 20,DUMPING REFUSE NEAR HIGHWAY,DWI,DWI  .15 BAC OR ABOVE,DWI - CHILD PASSENGER,DWI - DRUG RECOGNITION EXPERT,DWI 2ND,ESCAPE FROM CUSTODY,EVADING / FOOT,EVADING / VEHICLE PURSUIT,EVADING VEHICLE,EXPLOITATION OF CHILD/ELDERLY,EXPLOSIVE ORDNANCE DISPOSAL,FAILURE TO IDENTIFY,FALSE ALARM OR REPORT,FALSE REPORT TO PEACE OFFICER,FAMILY DISTURBANCE,FAMILY DISTURBANCE/PARENTAL,FEDERAL VIOL/OTHER,FELONY ENHANCEMENT/ASSLT W/INJ,FORGERY - OTHER,FORGERY AND PASSING,FORGERY BY MAKING,FORGERY OF IDENTIFICATION,FRAUD - OTHER,GAMBLING,GRAFFITI,HARASSMENT,HARASSMENT OF A PUBLIC SERVANT,IDENTITY THEFT,IMPERSONATING PUBLIC SERVANT,INDECENT ASSAULT,INDECENT EXPOSURE,INJURY DISABLED INDIVIDUAL,INJURY TO CHILD,INJURY TO ELDERLY PERSON,INTERFERE W PO SERVICE ANIMALS,INTERFERENCE PUBLIC DUTIES,JUSTIFIED HOMICIDE,KIDNAPPING,LIQUOR LAW VIOLATION/OTHER,LITTERING,MAIL THEFT,MANF CONTROLLED SUB - OTHER,MANF CONTROLLED SUB- SYN NARC,MANF SYNTHETIC MARIJUANA,MISAPPLY FIDUCIARY PROP,MISREP AGE BY MINOR,MISUSE OF OFFICIAL INFO,MURDER,NUISANCE ABATEMENT,OBSCENE DISPLAY - DISTRIBUTION,OBTAIN CONTROLLED SUB BY FRAUD,ONLINE IMPERSONATION,PAROLE VIOL,POCKET PICKING,POSS CONTROLLED SUB/NARCOTIC,POSS CONTROLLED SUB/OTHER,POSS CONTROLLED SUB/SYN NARC,POSS CRIMINAL INSTRUMENT,POSS DANG DRUG,POSS OF ALCOHOL - AGE 17 TO 20,POSS OF ALCOHOL-AGE 16 & UNDER,POSS OF DRUG PARAPHERNALIA,POSS OF FIREARM BY FELON,POSS OF GAMBLING PARAPHERNALIA,POSS OF PROHIBITED WEAPON,POSS SYNTHETIC MARIJUANA,POSS/PROMO CHILD PORNOGRAPHY,POSSESSION OF MARIJUANA,PROSTITUTION,PROTECTIVE ORDER,PUBLIC INTOX-SOBERING CENTER,PUBLIC INTOXICATION,PUBLIC LEWDNESS,PURSE SNATCHING,RECKLESS CONDUCT,RECKLESS DAMAGE,RENTAL CAR/FAIL TO RETURN,RESISTING ARREST OR SEARCH,RETALIATION,RIOT,ROBBERY BY ASSAULT,ROBBERY BY THREAT,RUNAWAY CHILD,SALE OF DXM TO MINOR,SALE OF LIQ WITHOUT PERMIT,SECURING EXEC-DOC BY DECEPTION,SEXTING/TRANSMIT SEXUAL PHOTOS,SOLICITATION - BEGGING,STALKING,SUSPICIOUS PERSON,TAKE WEAPON FRM POLICE OFFICER,TAMPERING WITH CONSUMER PROD,TAMPERING WITH EVIDENCE,TAMPERING WITH GOV RECORD,TERRORISTIC THREAT,TERRORISTIC THREAT-FAM/DAT VIO,TERRORISTIC THREAT-MASS CASLTY,THEFT,THEFT BY EMBEZZLEMENT,THEFT BY EXTORTION,THEFT BY FALSE PRETEXT/BUNCO,THEFT BY PUBLIC SERVANT,THEFT BY SHOPLIFTING,THEFT CATALYTIC CONVERTER,THEFT FROM AUTO,THEFT FROM BUILDING,THEFT FROM PERSON,THEFT OF AUTO PARTS,THEFT OF BICYCLE,THEFT OF HEAVY EQUIPMENT,THEFT OF LICENSE PLATE,THEFT OF METAL,THEFT OF SERVICE,THEFT OF TRAILER,THEFT- APPROPRIATE STOLEN PROP,THEFT-NO SUSPECT/FOLLOWUP,TRAFFICKING OF PERSONS,TRUANCY,UCW LICENSE PREMISE,UNLAWFUL CARRY-LIC HOLDER,UNLAWFUL CARRYING WEAPON,UNLAWFUL RESTRAINT,URINATING IN PUBLIC PLACE,VIOL CITY ORDINANCE - BOOTING,VIOL CITY ORDINANCE - DOG,VIOL CITY ORDINANCE - OTHER,VIOL CITY ORDINANCE - SOUND,VIOL CITY ORDINANCE - WRECKER,VIOL CITY ORDINANCE -FIREWORK,VIOL OF AGGRESSIVE CONFRONT,VIOL OF BOND CONDITIONS,VIOL OF CAMPING ORDINANCE,VIOL OF EMERG PROTECTIVE ORDER,VIOL OF PROTECTIVE ORDER,VIOL STATE LAW - OTHER,VIOL TEMP EX PARTE  ORDER,VOCO - ALCOHOL  CONSUMPTION,VOYEURISM-PEEPING TOM,WARRANT ARREST NON TRAFFIC,WEAPON VIOL - OTHER,AGG KIDNAPPING FAM VIO,BURG OF RES - FAM/DATING ASLT,CRED CARD ABUSE - EXPIR-CANCEL,CRIMES AGAINST ELDERLY,CRIMINAL SOLICITATION OF MINOR,DEADLY CONDUCT FAM/DATE VIOL,DISPOSAL OF SOLID WASTE,DOC DISCHARGE GUN - PUB ROAD,FALSE STATEMENT -OBTAIN CREDIT,FRAUD FILING FINANCE STATEMENT,FRAUD-CARD SKIMMER,INHALANT ABUSE,INJ TO DISABLED  FAM/DATE VIOL,INJ TO ELDERLY   FAM/DATE VIOL,INJURY TO CHILD (CARE/CUSTODY),INTER EMERG PHONECALL FAM/DATE,INTERFERING W/EMERG PHONE CALL,ONLINE SOLICITATION OF A MINOR,POSSESSION OF FORGED WRITING,PROMOTION OF PROSTITUTION,THEFT BY CHECK,UNLAWFUL RESTRAINT FAM/DAT VIO,VIOL STAY AWAY ORDER,CRASH/INTOXICATION ASSAULT,DISTRIB HARMFUL MATERIAL MINOR,FORGERY BY ALTERATION,HAZING,IDENTITY THEFT-TAX RETURNS,OBTAIN DANG DRUG BY FRAUD,REPEAT RUNAWAY,VIOL OF OBSTRUCTION ORDINANCE,VOCO AMPLIFIED MUSIC/VEHICLE,CAMPING IN PARK,CRASH/INTOX MANSLAUGHTER,DOMESTIC VIOLENCE/ALARM,FRAUD DESTRUCTION OF A WRITING,HARASSMENT ONLINE,ISSUANCE OF BAD CHECK,PROWLER,SEXUAL COERCION,DEL OF ALCOHOL TO MINOR,FICTITIOUS NAME,FORGERY- CERTIFICATE OF TITLE,VIOL CITY ORD-COVID 19 MASK,AIRPORT - BOMB THREAT,AIRPORT - BREACH OF SECURITY,AIRPORT - FEDERAL VIOL,AIRPORT PLACES WEAPON PROHIBIT,ILLUMIN AIRCRAFT INTENSE LIGHT,MONEY LAUNDERING,VIOL CITY ORDINANCE - AIRPORT,ABUSE OF CORPSE,DANG DRUG VIOL - OTHER,DEL CONTROLLED SUB/OTHER,HARBORING RUNAWAY CHILD,HINDERING APPREHENSION,PROBATION VIOL,CRASH/MANSLAUGHTER,MANSLAUGHTER,AGG PROMOTION OF PROSTITUTION,CAPITAL MURDER,INJ/CHILD FV (NO CARE/CUSTODY),INJURY TO ELDERLY PERSON - SBI,PURCHASING PROSTITUTION,TRADEMARK COUNTERFEITING,VIOL OF PARK CURFEW,ATT AUTO THEFT,AGG KIDNAPPING,ATT BURGLARY OF RESIDENCE,DOC WINDOW PEEPING - PUB AREA,MAKING TOBACCO AVAIL TO MINOR,BOATING WHILE INTOXICATED,ATT THEFT,CONTROLLED SUB VIOL - OTHER,CRIMINAL SOLICITATION,DISRUPTING MEETING/PROCESSION,FALSE REPORT TO CPS,KIDNAPPING FAM VIO,TELECOMMUNICATION CRIMES/OTHER,VIOL CITY ORDINANCE -  GAME RM,HINDER SECURED CREDITORS,PIGEON DROP,ARSON WITH BODILY INJURY,CONTEMPT OF COURT,KEEPING GAMBLING PLACE,SMUGGLING ILLEGAL ALIEN,VIOL OF COURT ORDER-NON EPO-PO,FALSE CALLER ID DISPLAY/SPOOF,TOBACCO VIOL - UNDER AGE 21,AGG PERJURY,TOBACCO VIOL - UNDER AGE 17,ATT ARSON,FALSE ID AS A PEACE OFFICER,OBSCENITY,VIOL CITY ORDINANCE - TITLE 10,TAMPERING WITH WITNESS,BESTIALITY,THEFT OF TELECOMMUNICATION SRV,VIOL STATE MASSAGE REGULATIONS
0,78701,5,5,39,1,226,13,17,4,4,2,37,1,2,13,321,36,134,4,2,2,40,27,149,697,263,7,27,198,1,41,31,153,614,26,1,5,1,9,75,88,4,584,6,38,316,44,9,105,15,10,37,42,122,15,68,20,2,2,2,328,5,4,16,21,38,170,2,17,1,2,17,3,1,1,291,53,3,4,41,2,60,11,33,3,2,18,11,3,323,3,5,12,7,41,5,1,73,6,52,120,21,167,6,17,38,6,1,9,11,29,1,1,10,7,24,1,1,1,1,16,1,10,10,2,1,6,5,15,204,9,16,1,10,5,1,548,31,1,1,27,2,124,3,1,55,376,4,6,1,27,5,53,7,12,79,12,4,1,1,1,2,1,6,77,3,5,10,3,119,4,4,1004,3,1,1,1,99,30,20,31,226,4,235,1,31,3,47,2,1,44,1,1,7,3,133,2,9,1,1,41,38,10,1,2,1,2,14,15,16,1,4,2,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,78702,1,3,48,2,123,34,3,0,4,2,35,0,1,14,128,61,157,19,2,7,4,6,245,250,295,1,8,229,7,144,73,128,525,78,3,6,0,7,51,34,0,507,4,18,283,1,5,51,16,4,27,36,99,23,46,8,0,0,1,215,1,1,14,3,17,11,0,1,0,4,9,0,0,1,116,37,1,5,27,0,17,7,36,4,4,8,7,6,644,37,0,19,6,36,3,1,105,0,53,211,10,140,1,7,21,12,5,7,0,0,0,0,3,0,76,1,1,0,1,0,0,3,0,0,0,7,0,0,145,2,3,0,3,0,0,73,25,0,1,3,3,71,4,9,17,89,0,0,0,6,2,11,3,0,24,10,35,0,0,0,1,0,7,64,0,0,2,0,66,13,1,584,0,2,1,0,142,79,17,23,20,19,254,5,38,8,16,9,2,9,0,0,0,0,35,2,1,2,0,11,0,3,0,0,3,1,15,21,9,0,0,1,9,2,1,4,2,1,1,3,1,17,1,1,1,1,1,4,2,1,2,1,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,78703,0,1,3,0,6,7,0,0,1,1,2,0,0,0,40,5,27,3,1,0,2,2,28,38,125,1,6,56,0,53,43,107,496,8,0,2,0,2,13,31,0,122,0,4,46,0,1,9,9,0,3,2,22,2,11,3,0,0,0,57,0,0,1,0,4,1,0,1,0,4,5,1,1,0,125,14,2,5,19,0,1,0,0,0,0,3,1,1,129,18,0,0,1,33,0,0,48,0,11,66,1,130,1,2,6,0,2,4,0,0,0,0,2,0,39,0,0,0,0,0,0,0,1,0,0,5,0,0,24,2,0,0,0,0,0,5,3,0,0,0,0,7,0,2,3,19,0,0,0,5,0,3,1,0,3,2,11,0,0,0,1,0,3,47,0,0,0,0,20,0,1,181,0,1,0,0,36,24,12,6,4,4,115,0,13,2,14,3,0,3,0,0,1,0,5,0,0,0,0,7,0,0,0,0,3,0,3,4,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,1,0,1,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78704,1,5,54,1,100,34,0,0,7,1,46,0,1,12,165,69,176,21,0,0,12,3,237,285,615,1,10,325,5,240,71,797,1043,75,9,7,0,9,56,106,2,702,2,74,236,7,7,57,24,1,3,21,184,11,70,8,0,0,0,297,0,2,9,14,12,10,3,5,0,10,27,0,2,1,247,40,4,10,62,2,25,10,20,0,3,18,7,3,869,54,1,21,5,56,3,2,152,0,51,276,7,252,3,11,25,0,7,11,0,2,0,0,0,0,163,0,0,0,0,1,0,3,0,1,2,19,1,3,112,9,2,1,2,0,0,56,8,0,0,0,5,69,1,7,20,161,1,0,1,17,15,7,3,0,33,10,192,0,0,0,3,0,3,155,0,1,1,0,84,19,4,889,0,1,0,0,447,160,55,43,31,34,400,2,90,6,41,66,1,54,1,0,0,0,25,1,0,6,6,10,0,14,0,0,2,1,20,37,7,1,0,0,18,0,0,6,0,1,0,0,0,1,4,0,6,0,1,7,0,1,4,3,0,0,0,0,0,3,0,3,0,0,0,12,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,78705,0,2,19,0,48,7,0,1,0,0,22,0,0,3,65,11,48,0,0,1,9,25,73,124,412,1,13,109,1,132,33,177,607,3,0,3,0,5,14,25,1,281,1,19,145,0,1,10,6,2,4,3,84,6,20,1,1,0,0,80,1,0,1,4,8,3,0,1,0,2,7,0,0,0,58,10,2,2,6,0,5,2,6,0,2,5,3,1,184,3,0,2,2,24,4,0,59,0,46,135,2,51,1,9,18,1,1,5,0,0,0,0,3,0,73,0,0,0,0,0,0,0,1,0,5,5,1,0,34,2,0,0,0,0,0,23,4,0,0,0,1,22,1,2,8,41,0,1,0,10,0,3,1,0,9,5,0,0,0,0,2,0,1,68,1,0,0,0,38,4,1,357,0,1,3,0,57,77,12,19,9,13,476,2,41,1,11,7,0,8,0,0,0,0,6,1,0,2,1,10,1,13,3,0,0,0,3,16,1,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,78717,1,2,13,1,9,3,0,1,0,0,4,0,0,2,13,17,11,4,0,0,1,0,58,10,50,0,4,51,0,48,68,60,163,27,0,2,0,1,9,25,1,69,0,5,9,2,0,2,3,0,2,0,24,2,19,0,0,0,0,38,0,0,1,2,1,2,0,0,0,1,5,0,1,0,38,4,1,0,5,0,0,0,4,0,1,0,3,0,219,17,0,3,5,5,0,0,30,0,3,67,0,95,0,3,2,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,4,0,0,10,1,1,0,0,0,0,6,0,0,0,0,1,4,1,4,0,6,0,0,1,6,1,1,0,0,4,2,8,0,0,0,1,0,1,22,0,0,0,0,13,2,0,123,1,0,0,0,69,29,6,8,4,3,20,0,18,1,5,5,0,2,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,78719,0,0,0,0,2,0,0,0,2,0,0,89,0,0,23,1,1,1,0,0,0,0,3,9,59,0,0,0,0,0,0,3,13,6,0,0,0,0,5,6,0,20,0,3,5,2,1,1,0,5,7,3,2,0,1,0,0,2,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,2,0,0,0,21,5,25,0,0,0,1,1,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,5,1,0,0,0,0,28,0,0,10,21,1,0,0,1,34,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,2,1,1,162,0,0,0,0,2,2,1,0,3,6,0,0,4,0,5,0,0,3,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,27,154,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
